id,type,marque,modele,pays,plaque,pattern
2,Voiture,Renault,Clio,CHE,GE352078,courses en France
5,Voiture,Bmw,320,CHE,BE134928,interieur
9,Voiture,Audi,Q5,CHE,VS128374,interieur
13,Voiture,Mercedes-Benz,Classe SLK,CHE,VD425709,interieur
17,Voiture,Bmw,i8,CHE,VD260498,interieur
20,Voiture,Mercedes-Benz,Classe A,CHE,GE031478,interieur
21,Voiture,Peugeot,206,CHE,GE895036,interieur
22,Voiture,Renault,Scenic,CHE,GE810524,ouvreuses
23,Voiture,Bmw,530,CHE,GE106574,interieur
24,Voiture,Renault,Mégane,CHE,GE014367,interieur
29,Voiture,Mercedes-Benz,Classe CLS,CHE,GE087153,ouvreuses
30,Voiture,Bmw,530,CHE,AI768015,interieur
31,Voiture,Bmw,i8,CHE,VD734102,interieur
35,Voiture,Renault,Scenic,CHE,VD913278,ouvreuses
36,Voiture,Bmw,320,CHE,GE960781,interieur
37,Voiture,Renault,Scenic,CHE,VD846923,telegram
40,Voiture,Mercedes-Benz,Classe CLS,CHE,GE876012,telegram
44,Voiture,Audi,e-tron,CHE,GE564973,courses en France
46,Voiture,Bmw,i8,CHE,GE791803,interieur
47,Voiture,Toyota,Corolla,CHE,GE762851,interieur
49,Voiture,Audi,RS6,CHE,FR512804,sporadiques
51,Voiture,Peugeot,3008,CHE,GE146570,telegram
52,Voiture,Bmw,i8,CHE,GE597304,interieur
53,Voiture,Audi,RS6,CHE,GE729604,courses en France
55,Voiture,Bmw,530,CHE,GE312708,interieur
56,Voiture,Renault,Twingo,CHE,GE549706,courses en France
58,Voiture,Peugeot,405,CHE,GE645729,sporadiques
59,Voiture,Audi,Q5,CHE,GE203596,interieur
61,Voiture,Mercedes-Benz,Classe A,CHE,VS407539,interieur
63,Voiture,Mercedes-Benz,Classe SLK,CHE,GE486790,interieur
65,Voiture,Toyota,C-HR,CHE,GE809521,interieur
69,Voiture,Audi,RS6,CHE,VD801529,interieur
70,Voiture,Bmw,320,CHE,VD461789,interieur
72,Voiture,Bmw,i8,CHE,VD016357,interieur
75,Voiture,Bmw,530,CHE,GE602985,interieur
78,Voiture,Audi,e-tron,CHE,GE493706,courses en France
86,Voiture,Mercedes-Benz,Classe A,CHE,GE425980,courses en France
87,Voiture,Audi,Q5,CHE,GE132978,interieur
91,Voiture,Peugeot,206,CHE,VD392584,ouvreuses
92,Voiture,Mercedes-Benz,Classe B,CHE,GE517048,interieur
93,Voiture,Bmw,320,CHE,GE827640,interieur
95,Voiture,Toyota,Yaris,CHE,GE630148,courses en France
100,Voiture,Renault,Twingo,CHE,GE609874,courses en France
102,Voiture,Mercedes-Benz,Classe A,CHE,BE063254,courses en France
104,Voiture,Peugeot,5008,CHE,VD396180,courses en France
105,Voiture,Renault,Clio,CHE,GE854160,courses en France
108,Voiture,Peugeot,3008,CHE,GE405187,sporadiques
112,Voiture,Renault,Mégane,CHE,GE520479,ouvreuses
113,Voiture,Renault,Clio,CHE,VD649238,interieur
117,Voiture,Bmw,X3,CHE,GE857016,courses en France
118,Voiture,Bmw,i8,CHE,GE465213,courses en France
119,Voiture,Toyota,Corolla,CHE,FR490356,courses en France
120,Voiture,Audi,A8,CHE,GE751069,interieur
122,Voiture,Peugeot,405,CHE,BL765831,ouvreuses
123,Voiture,Peugeot,405,CHE,GE683204,courses en France
124,Voiture,Mercedes-Benz,Classe A,CHE,GE214935,interieur
128,Voiture,Mercedes-Benz,Classe B,CHE,GE923540,sporadiques
133,Voiture,Toyota,Yaris,CHE,GE038794,interieur
134,Voiture,Toyota,C-HR,CHE,GE875490,interieur
135,Voiture,Renault,Scenic,CHE,GE597382,interieur
137,Voiture,Bmw,320,CHE,GE075198,interieur
138,Voiture,Audi,A8,CHE,VS908345,courses en France
141,Voiture,Mercedes-Benz,Classe SLK,CHE,GE258901,interieur
147,Voiture,Renault,Clio,CHE,VD296145,fisc
149,Voiture,Renault,Mégane,CHE,VD159670,interieur
150,Voiture,Renault,Twingo,CHE,VD623510,courses en France
153,Voiture,Peugeot,405,CHE,VD514602,interieur
155,Voiture,Toyota,C-HR,CHE,GE796203,téléphonie
157,Voiture,Bmw,i8,CHE,FR438296,téléphonie
160,Voiture,Toyota,Celica,CHE,GE623089,interieur
161,Voiture,Renault,Scenic,CHE,GE387951,interieur
162,Voiture,Bmw,X3,CHE,GE701386,courses en France
